"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"21.06.2019 02:15 - 21.06.2019 02:30","39235","41134"
"21.06.2019 02:30 - 21.06.2019 02:45","39110","40841"
"21.06.2019 02:45 - 21.06.2019 03:00","39048","40977"
"21.06.2019 03:00 - 21.06.2019 03:15","39240","40801"
"21.06.2019 03:15 - 21.06.2019 03:30","39261","40729"
"21.06.2019 03:30 - 21.06.2019 03:45","39161","40935"
"21.06.2019 03:45 - 21.06.2019 04:00","39179","40768"
"21.06.2019 04:00 - 21.06.2019 04:15","39515","41298"
"21.06.2019 04:15 - 21.06.2019 04:30","39718","41604"
"21.06.2019 04:30 - 21.06.2019 04:45","39888","41758"
"21.06.2019 04:45 - 21.06.2019 05:00","40320","42042"
"21.06.2019 05:00 - 21.06.2019 05:15","41175","42791"
"21.06.2019 05:15 - 21.06.2019 05:30","41548","43385"
"21.06.2019 05:30 - 21.06.2019 05:45","42277","43865"
"21.06.2019 05:45 - 21.06.2019 06:00","43316","45058"
"21.06.2019 06:00 - 21.06.2019 06:15","45435","47744"
"21.06.2019 06:15 - 21.06.2019 06:30","47018","49306"
"21.06.2019 06:30 - 21.06.2019 06:45","48405","50490"
"21.06.2019 06:45 - 21.06.2019 07:00","49981","51596"
"21.06.2019 07:00 - 21.06.2019 07:15","51630","53308"
"21.06.2019 07:15 - 21.06.2019 07:30","52710","54299"
"21.06.2019 07:30 - 21.06.2019 07:45","54216","55566"
"21.06.2019 07:45 - 21.06.2019 08:00","55065","56129"
"21.06.2019 08:00 - 21.06.2019 08:15","56028","57104"
"21.06.2019 08:15 - 21.06.2019 08:30","56516","58004"
"21.06.2019 08:30 - 21.06.2019 08:45","56871","58529"
"21.06.2019 08:45 - 21.06.2019 09:00","57170","59100"
"21.06.2019 09:00 - 21.06.2019 09:15","57143","59180"
"21.06.2019 09:15 - 21.06.2019 09:30","57474","59354"
"21.06.2019 09:30 - 21.06.2019 09:45","58100","59740"
"21.06.2019 09:45 - 21.06.2019 10:00","58460","60446"
"21.06.2019 10:00 - 21.06.2019 10:15","58872","60546"
"21.06.2019 10:15 - 21.06.2019 10:30","59169","60787"
"21.06.2019 10:30 - 21.06.2019 10:45","59451","61002"
"21.06.2019 10:45 - 21.06.2019 11:00","59957","61536"
"21.06.2019 11:00 - 21.06.2019 11:15","60485","61771"
"21.06.2019 11:15 - 21.06.2019 11:30","60560","62011"
"21.06.2019 11:30 - 21.06.2019 11:45","60725","62284"
"21.06.2019 11:45 - 21.06.2019 12:00","60082","62431"
"21.06.2019 12:00 - 21.06.2019 12:15","60231","62184"
"21.06.2019 12:15 - 21.06.2019 12:30","60341","61744"
"21.06.2019 12:30 - 21.06.2019 12:45","59900","61547"
"21.06.2019 12:45 - 21.06.2019 13:00","60008","61508"
"21.06.2019 13:00 - 21.06.2019 13:15","59777","61376"
"21.06.2019 13:15 - 21.06.2019 13:30","59480","61054"
"21.06.2019 13:30 - 21.06.2019 13:45","59142","60900"
"21.06.2019 13:45 - 21.06.2019 14:00","58930","60239"
"21.06.2019 14:00 - 21.06.2019 14:15","58561","60024"
"21.06.2019 14:15 - 21.06.2019 14:30","57803","59704"
"21.06.2019 14:30 - 21.06.2019 14:45","57545","59614"
"21.06.2019 14:45 - 21.06.2019 15:00","58034","59475"
"21.06.2019 15:00 - 21.06.2019 15:15","58244","59651"
"21.06.2019 15:15 - 21.06.2019 15:30","57669","59048"
"21.06.2019 15:30 - 21.06.2019 15:45","57354","58675"
"21.06.2019 15:45 - 21.06.2019 16:00","56822","58322"
"21.06.2019 16:00 - 21.06.2019 16:15","56987","58433"
"21.06.2019 16:15 - 21.06.2019 16:30","57026","57985"
"21.06.2019 16:30 - 21.06.2019 16:45","56885","57297"
"21.06.2019 16:45 - 21.06.2019 17:00","56211","57120"
"21.06.2019 17:00 - 21.06.2019 17:15","56372","57461"
"21.06.2019 17:15 - 21.06.2019 17:30","56184","57303"
"21.06.2019 17:30 - 21.06.2019 17:45","56185","57198"
"21.06.2019 17:45 - 21.06.2019 18:00","56064","57216"
"21.06.2019 18:00 - 21.06.2019 18:15","55879","57320"
"21.06.2019 18:15 - 21.06.2019 18:30","55775","56899"
"21.06.2019 18:30 - 21.06.2019 18:45","55801","56794"
"21.06.2019 18:45 - 21.06.2019 19:00","55652","56572"
"21.06.2019 19:00 - 21.06.2019 19:15","55322","56531"
"21.06.2019 19:15 - 21.06.2019 19:30","55078","55693"
"21.06.2019 19:30 - 21.06.2019 19:45","54706","55609"
"21.06.2019 19:45 - 21.06.2019 20:00","53985","55348"
"21.06.2019 20:00 - 21.06.2019 20:15","53320","54696"
"21.06.2019 20:15 - 21.06.2019 20:30","52495","53806"
"21.06.2019 20:30 - 21.06.2019 20:45","51801","53078"
"21.06.2019 20:45 - 21.06.2019 21:00","51283","52305"
"21.06.2019 21:00 - 21.06.2019 21:15","50645","51506"
"21.06.2019 21:15 - 21.06.2019 21:30","50329","50940"
"21.06.2019 21:30 - 21.06.2019 21:45","49813","50602"
"21.06.2019 21:45 - 21.06.2019 22:00","49733","50454"
"21.06.2019 22:00 - 21.06.2019 22:15","49605","50213"
"21.06.2019 22:15 - 21.06.2019 22:30","48979","50018"
"21.06.2019 22:30 - 21.06.2019 22:45","48180","49232"
"21.06.2019 22:45 - 21.06.2019 23:00","47341","48586"
"21.06.2019 23:00 - 21.06.2019 23:15","46278","47360"
"21.06.2019 23:15 - 21.06.2019 23:30","45556","46563"
"21.06.2019 23:30 - 21.06.2019 23:45","44873","45747"
"21.06.2019 23:45 - 22.06.2019 00:00","44176","44959"
"22.06.2019 00:00 - 22.06.2019 00:15","43365","44218"
"22.06.2019 00:15 - 22.06.2019 00:30","42956","43686"
"22.06.2019 00:30 - 22.06.2019 00:45","42456","43145"
"22.06.2019 00:45 - 22.06.2019 01:00","41964","42622"
"22.06.2019 01:00 - 22.06.2019 01:15","41403","42075"
"22.06.2019 01:15 - 22.06.2019 01:30","40895","41715"
"22.06.2019 01:30 - 22.06.2019 01:45","40440","41103"
"22.06.2019 01:45 - 22.06.2019 02:00","40067","40431"
"22.06.2019 02:00 - 22.06.2019 02:15","39680","39980"
"22.06.2019 02:15 - 22.06.2019 02:30","39474","39890"
"22.06.2019 02:30 - 22.06.2019 02:45","39307","39784"
"22.06.2019 02:45 - 22.06.2019 03:00","39199","39403"
"22.06.2019 03:00 - 22.06.2019 03:15","39195","39328"
"22.06.2019 03:15 - 22.06.2019 03:30","39146","39170"
"22.06.2019 03:30 - 22.06.2019 03:45","38941","39338"
"22.06.2019 03:45 - 22.06.2019 04:00","38866","39172"
"22.06.2019 04:00 - 22.06.2019 04:15","38990","39678"
"22.06.2019 04:15 - 22.06.2019 04:30","38926","39348"
"22.06.2019 04:30 - 22.06.2019 04:45","38868","39509"
"22.06.2019 04:45 - 22.06.2019 05:00","39019","39507"
"22.06.2019 05:00 - 22.06.2019 05:15","39279","39748"
"22.06.2019 05:15 - 22.06.2019 05:30","39059","39722"
"22.06.2019 05:30 - 22.06.2019 05:45","39077","39865"
"22.06.2019 05:45 - 22.06.2019 06:00","39377","40070"
"22.06.2019 06:00 - 22.06.2019 06:15","39997","41138"
"22.06.2019 06:15 - 22.06.2019 06:30","40493","41709"
"22.06.2019 06:30 - 22.06.2019 06:45","41297","42644"
"22.06.2019 06:45 - 22.06.2019 07:00","42122","43172"
"22.06.2019 07:00 - 22.06.2019 07:15","43258","44011"
"22.06.2019 07:15 - 22.06.2019 07:30","44106","44913"
"22.06.2019 07:30 - 22.06.2019 07:45","45206","45823"
"22.06.2019 07:45 - 22.06.2019 08:00","46454","46912"
"22.06.2019 08:00 - 22.06.2019 08:15","47289","47772"
"22.06.2019 08:15 - 22.06.2019 08:30","47915","48756"
"22.06.2019 08:30 - 22.06.2019 08:45","48995","49530"
"22.06.2019 08:45 - 22.06.2019 09:00","49748","50349"
"22.06.2019 09:00 - 22.06.2019 09:15","50416","51272"
"22.06.2019 09:15 - 22.06.2019 09:30","51193","51867"
"22.06.2019 09:30 - 22.06.2019 09:45","51925","52402"
"22.06.2019 09:45 - 22.06.2019 10:00","52358","52984"
"22.06.2019 10:00 - 22.06.2019 10:15","53017","53371"
"22.06.2019 10:15 - 22.06.2019 10:30","53457","53725"
"22.06.2019 10:30 - 22.06.2019 10:45","53610","53857"
"22.06.2019 10:45 - 22.06.2019 11:00","54020","54362"
"22.06.2019 11:00 - 22.06.2019 11:15","54791","54646"
"22.06.2019 11:15 - 22.06.2019 11:30","55101","54880"
"22.06.2019 11:30 - 22.06.2019 11:45","55383","55305"
"22.06.2019 11:45 - 22.06.2019 12:00","54771","55261"
"22.06.2019 12:00 - 22.06.2019 12:15","54743","55111"
"22.06.2019 12:15 - 22.06.2019 12:30","54486","54759"
"22.06.2019 12:30 - 22.06.2019 12:45","53735","54374"
"22.06.2019 12:45 - 22.06.2019 13:00","53570","53998"
"22.06.2019 13:00 - 22.06.2019 13:15","52660","53422"
"22.06.2019 13:15 - 22.06.2019 13:30","52467","53157"
"22.06.2019 13:30 - 22.06.2019 13:45","52135","53029"
"22.06.2019 13:45 - 22.06.2019 14:00","51445","52301"
"22.06.2019 14:00 - 22.06.2019 14:15","51165","52051"
"22.06.2019 14:15 - 22.06.2019 14:30","50361","51869"
"22.06.2019 14:30 - 22.06.2019 14:45","50130","51890"
"22.06.2019 14:45 - 22.06.2019 15:00","50637","51472"
"22.06.2019 15:00 - 22.06.2019 15:15","50751","51503"
"22.06.2019 15:15 - 22.06.2019 15:30","49803","51232"
"22.06.2019 15:30 - 22.06.2019 15:45","49750","51173"
"22.06.2019 15:45 - 22.06.2019 16:00","49435","50841"
"22.06.2019 16:00 - 22.06.2019 16:15","49343","50792"
"22.06.2019 16:15 - 22.06.2019 16:30","49755","50652"
"22.06.2019 16:30 - 22.06.2019 16:45","49839","50143"
"22.06.2019 16:45 - 22.06.2019 17:00","49038","50440"
"22.06.2019 17:00 - 22.06.2019 17:15","49397","50570"
"22.06.2019 17:15 - 22.06.2019 17:30","49379","50695"
"22.06.2019 17:30 - 22.06.2019 17:45","49750","50621"
"22.06.2019 17:45 - 22.06.2019 18:00","49584","50562"
"22.06.2019 18:00 - 22.06.2019 18:15","49694","50686"
"22.06.2019 18:15 - 22.06.2019 18:30","50044","51022"
"22.06.2019 18:30 - 22.06.2019 18:45","49792","50798"
"22.06.2019 18:45 - 22.06.2019 19:00","49529","50578"
"22.06.2019 19:00 - 22.06.2019 19:15","49508","50435"
"22.06.2019 19:15 - 22.06.2019 19:30","49176","50076"
"22.06.2019 19:30 - 22.06.2019 19:45","48713","49763"
"22.06.2019 19:45 - 22.06.2019 20:00","47935","49412"
"22.06.2019 20:00 - 22.06.2019 20:15","47859","48772"
"22.06.2019 20:15 - 22.06.2019 20:30","47336","48021"
"22.06.2019 20:30 - 22.06.2019 20:45","46205","47364"
"22.06.2019 20:45 - 22.06.2019 21:00","45968","46972"
"22.06.2019 21:00 - 22.06.2019 21:15","45192","46690"
"22.06.2019 21:15 - 22.06.2019 21:30","45035","46519"
"22.06.2019 21:30 - 22.06.2019 21:45","44992","45977"
"22.06.2019 21:45 - 22.06.2019 22:00","45234","46072"
"22.06.2019 22:00 - 22.06.2019 22:15","45577","45977"
"22.06.2019 22:15 - 22.06.2019 22:30","45195","45898"
"22.06.2019 22:30 - 22.06.2019 22:45","44548","45628"
"22.06.2019 22:45 - 22.06.2019 23:00","43849","45048"
"22.06.2019 23:00 - 22.06.2019 23:15","42634","44178"
"22.06.2019 23:15 - 22.06.2019 23:30","42017","43785"
"22.06.2019 23:30 - 22.06.2019 23:45","41420","43103"
"22.06.2019 23:45 - 23.06.2019 00:00","40884","41889"
"23.06.2019 00:00 - 23.06.2019 00:15","40732","40919"
"23.06.2019 00:15 - 23.06.2019 00:30","40349","40406"
"23.06.2019 00:30 - 23.06.2019 00:45","39909","39745"
"23.06.2019 00:45 - 23.06.2019 01:00","39491","39419"
"23.06.2019 01:00 - 23.06.2019 01:15","38843","38761"
"23.06.2019 01:15 - 23.06.2019 01:30","38462","38467"
"23.06.2019 01:30 - 23.06.2019 01:45","38015","38193"
"23.06.2019 01:45 - 23.06.2019 02:00","37863","37967"
"23.06.2019 02:00 - 23.06.2019 02:15","37510","37614"
"23.06.2019 02:15 - 23.06.2019 02:30","37330","37567"
"23.06.2019 02:30 - 23.06.2019 02:45","37195","37501"
"23.06.2019 02:45 - 23.06.2019 03:00","37077","37339"
"23.06.2019 03:00 - 23.06.2019 03:15","37095","37596"
"23.06.2019 03:15 - 23.06.2019 03:30","36992","37382"
"23.06.2019 03:30 - 23.06.2019 03:45","36734","37199"
"23.06.2019 03:45 - 23.06.2019 04:00","36556","37157"
"23.06.2019 04:00 - 23.06.2019 04:15","36700","36812"
"23.06.2019 04:15 - 23.06.2019 04:30","36500","36452"
"23.06.2019 04:30 - 23.06.2019 04:45","36407","36546"
"23.06.2019 04:45 - 23.06.2019 05:00","36475","36365"
"23.06.2019 05:00 - 23.06.2019 05:15","36466","36142"
"23.06.2019 05:15 - 23.06.2019 05:30","36277","35914"
"23.06.2019 05:30 - 23.06.2019 05:45","36130","35745"
"23.06.2019 05:45 - 23.06.2019 06:00","36192","35932"
"23.06.2019 06:00 - 23.06.2019 06:15","36361","36648"
"23.06.2019 06:15 - 23.06.2019 06:30","36626","36947"
"23.06.2019 06:30 - 23.06.2019 06:45","36899","37352"
"23.06.2019 06:45 - 23.06.2019 07:00","37319","38054"
"23.06.2019 07:00 - 23.06.2019 07:15","37880","38718"
"23.06.2019 07:15 - 23.06.2019 07:30","38644","39297"
"23.06.2019 07:30 - 23.06.2019 07:45","39855","40012"
"23.06.2019 07:45 - 23.06.2019 08:00","41091","40538"
"23.06.2019 08:00 - 23.06.2019 08:15","41552","41724"
"23.06.2019 08:15 - 23.06.2019 08:30","42399","42658"
"23.06.2019 08:30 - 23.06.2019 08:45","43375","43364"
"23.06.2019 08:45 - 23.06.2019 09:00","43761","43953"
"23.06.2019 09:00 - 23.06.2019 09:15","44816","44777"
"23.06.2019 09:15 - 23.06.2019 09:30","45830","45473"
"23.06.2019 09:30 - 23.06.2019 09:45","46412","46001"
"23.06.2019 09:45 - 23.06.2019 10:00","47069","46685"
"23.06.2019 10:00 - 23.06.2019 10:15","47525","47064"
"23.06.2019 10:15 - 23.06.2019 10:30","48273","47583"
"23.06.2019 10:30 - 23.06.2019 10:45","48895","48219"
"23.06.2019 10:45 - 23.06.2019 11:00","49529","48476"
"23.06.2019 11:00 - 23.06.2019 11:15","50198","48959"
"23.06.2019 11:15 - 23.06.2019 11:30","51033","49407"
"23.06.2019 11:30 - 23.06.2019 11:45","51335","49882"
"23.06.2019 11:45 - 23.06.2019 12:00","50929","50001"
"23.06.2019 12:00 - 23.06.2019 12:15","51068","50224"
"23.06.2019 12:15 - 23.06.2019 12:30","50963","49756"
"23.06.2019 12:30 - 23.06.2019 12:45","50376","49834"
"23.06.2019 12:45 - 23.06.2019 13:00","50326","49524"
"23.06.2019 13:00 - 23.06.2019 13:15","49517","48903"
"23.06.2019 13:15 - 23.06.2019 13:30","49526","48561"
"23.06.2019 13:30 - 23.06.2019 13:45","49113","48307"
"23.06.2019 13:45 - 23.06.2019 14:00","48607","47896"
"23.06.2019 14:00 - 23.06.2019 14:15","48379","47456"
"23.06.2019 14:15 - 23.06.2019 14:30","47673","47182"
"23.06.2019 14:30 - 23.06.2019 14:45","47421","47117"
"23.06.2019 14:45 - 23.06.2019 15:00","47613","46661"
"23.06.2019 15:00 - 23.06.2019 15:15","47784","46873"
"23.06.2019 15:15 - 23.06.2019 15:30","46780","46764"
"23.06.2019 15:30 - 23.06.2019 15:45","46797","46533"
"23.06.2019 15:45 - 23.06.2019 16:00","46550","46182"
"23.06.2019 16:00 - 23.06.2019 16:15","46663","46924"
"23.06.2019 16:15 - 23.06.2019 16:30","46750","46958"
"23.06.2019 16:30 - 23.06.2019 16:45","47040","46854"
"23.06.2019 16:45 - 23.06.2019 17:00","46377","46701"
"23.06.2019 17:00 - 23.06.2019 17:15","46726","47442"
"23.06.2019 17:15 - 23.06.2019 17:30","46811","47731"
"23.06.2019 17:30 - 23.06.2019 17:45","47314","47573"
"23.06.2019 17:45 - 23.06.2019 18:00","47480","47642"
"23.06.2019 18:00 - 23.06.2019 18:15","47795","48624"
"23.06.2019 18:15 - 23.06.2019 18:30","48097","48643"
"23.06.2019 18:30 - 23.06.2019 18:45","48169","48604"
"23.06.2019 18:45 - 23.06.2019 19:00","48204","48877"
"23.06.2019 19:00 - 23.06.2019 19:15","48440","49305"
"23.06.2019 19:15 - 23.06.2019 19:30","48160","48851"
"23.06.2019 19:30 - 23.06.2019 19:45","47901","48494"
"23.06.2019 19:45 - 23.06.2019 20:00","47330","48585"
"23.06.2019 20:00 - 23.06.2019 20:15","47467","48718"
"23.06.2019 20:15 - 23.06.2019 20:30","47210","48493"
"23.06.2019 20:30 - 23.06.2019 20:45","46151","47943"
"23.06.2019 20:45 - 23.06.2019 21:00","46129","47704"
"23.06.2019 21:00 - 23.06.2019 21:15","45429","47594"
"23.06.2019 21:15 - 23.06.2019 21:30","45166","47374"
"23.06.2019 21:30 - 23.06.2019 21:45","45364","47258"
"23.06.2019 21:45 - 23.06.2019 22:00","45917","47936"
"23.06.2019 22:00 - 23.06.2019 22:15","46474","48354"
"23.06.2019 22:15 - 23.06.2019 22:30","46210","48588"
"23.06.2019 22:30 - 23.06.2019 22:45","45641","48000"
"23.06.2019 22:45 - 23.06.2019 23:00","44742","47408"
"23.06.2019 23:00 - 23.06.2019 23:15","43613","46360"
"23.06.2019 23:15 - 23.06.2019 23:30","42790","45535"
"23.06.2019 23:30 - 23.06.2019 23:45","42083","44507"
"23.06.2019 23:45 - 24.06.2019 00:00","41421","44091"
"24.06.2019 00:00 - 24.06.2019 00:15","40653","43527"
"24.06.2019 00:15 - 24.06.2019 00:30","40188","42936"
"24.06.2019 00:30 - 24.06.2019 00:45","39760","42617"
"24.06.2019 00:45 - 24.06.2019 01:00","39459","42549"
"24.06.2019 01:00 - 24.06.2019 01:15","38915","42089"
"24.06.2019 01:15 - 24.06.2019 01:30","38674","41670"
"24.06.2019 01:30 - 24.06.2019 01:45","38414","41353"
"24.06.2019 01:45 - 24.06.2019 02:00","38132","41121"
"24.06.2019 02:00 - 24.06.2019 02:15","37837","41011"
"24.06.2019 02:15 - 24.06.2019 02:30","37793","40759"
"24.06.2019 02:30 - 24.06.2019 02:45","37697","40598"
"24.06.2019 02:45 - 24.06.2019 03:00","37730","40725"
"24.06.2019 03:00 - 24.06.2019 03:15","37913","40951"
"24.06.2019 03:15 - 24.06.2019 03:30","37882","40908"
"24.06.2019 03:30 - 24.06.2019 03:45","37935","41092"
"24.06.2019 03:45 - 24.06.2019 04:00","38105","41165"
"24.06.2019 04:00 - 24.06.2019 04:15","38751","41974"
"24.06.2019 04:15 - 24.06.2019 04:30","39147","42481"
"24.06.2019 04:30 - 24.06.2019 04:45","39480","42845"
"24.06.2019 04:45 - 24.06.2019 05:00","40098","43284"
"24.06.2019 05:00 - 24.06.2019 05:15","41332","44258"
"24.06.2019 05:15 - 24.06.2019 05:30","41635","45020"
"24.06.2019 05:30 - 24.06.2019 05:45","42892","46051"
"24.06.2019 05:45 - 24.06.2019 06:00","44552","47789"
"24.06.2019 06:00 - 24.06.2019 06:15","47747","51306"
"24.06.2019 06:15 - 24.06.2019 06:30","49912","53915"
"24.06.2019 06:30 - 24.06.2019 06:45","51635","55602"
"24.06.2019 06:45 - 24.06.2019 07:00","53307","57172"
"24.06.2019 07:00 - 24.06.2019 07:15","55174","59154"
"24.06.2019 07:15 - 24.06.2019 07:30","56363","60456"
"24.06.2019 07:30 - 24.06.2019 07:45","57359","61677"
"24.06.2019 07:45 - 24.06.2019 08:00","58386","62741"
"24.06.2019 08:00 - 24.06.2019 08:15","59439","63717"
"24.06.2019 08:15 - 24.06.2019 08:30","59906","64593"
"24.06.2019 08:30 - 24.06.2019 08:45","60368","64829"
"24.06.2019 08:45 - 24.06.2019 09:00","60722","65267"
"24.06.2019 09:00 - 24.06.2019 09:15","60418","65283"
"24.06.2019 09:15 - 24.06.2019 09:30","60966","65747"
"24.06.2019 09:30 - 24.06.2019 09:45","61606","66471"
"24.06.2019 09:45 - 24.06.2019 10:00","61822","66837"
"24.06.2019 10:00 - 24.06.2019 10:15","62289","67153"
"24.06.2019 10:15 - 24.06.2019 10:30","62661","67496"
"24.06.2019 10:30 - 24.06.2019 10:45","62829","67811"
"24.06.2019 10:45 - 24.06.2019 11:00","63233","68151"
"24.06.2019 11:00 - 24.06.2019 11:15","63614","68721"
"24.06.2019 11:15 - 24.06.2019 11:30","64139","68940"
"24.06.2019 11:30 - 24.06.2019 11:45","64370","69015"
"24.06.2019 11:45 - 24.06.2019 12:00","64463","69134"
"24.06.2019 12:00 - 24.06.2019 12:15","63604","68867"
"24.06.2019 12:15 - 24.06.2019 12:30","62881","68857"
"24.06.2019 12:30 - 24.06.2019 12:45","63322","68727"
"24.06.2019 12:45 - 24.06.2019 13:00","62824","68648"
"24.06.2019 13:00 - 24.06.2019 13:15","63502","68777"
"24.06.2019 13:15 - 24.06.2019 13:30","63095","68568"
"24.06.2019 13:30 - 24.06.2019 13:45","62581","68174"
"24.06.2019 13:45 - 24.06.2019 14:00","62565","67510"
"24.06.2019 14:00 - 24.06.2019 14:15","62465","67503"
"24.06.2019 14:15 - 24.06.2019 14:30","62125","67568"
"24.06.2019 14:30 - 24.06.2019 14:45","61401","67375"
"24.06.2019 14:45 - 24.06.2019 15:00","61511","67120"
"24.06.2019 15:00 - 24.06.2019 15:15","61235","66838"
"24.06.2019 15:15 - 24.06.2019 15:30","61489","66670"
"24.06.2019 15:30 - 24.06.2019 15:45","61119","66421"
"24.06.2019 15:45 - 24.06.2019 16:00","60785","66350"
"24.06.2019 16:00 - 24.06.2019 16:15","59970","66275"
"24.06.2019 16:15 - 24.06.2019 16:30","59469","65794"
"24.06.2019 16:30 - 24.06.2019 16:45","58746","65666"
"24.06.2019 16:45 - 24.06.2019 17:00","59644","65378"
"24.06.2019 17:00 - 24.06.2019 17:15","59550","65564"
"24.06.2019 17:15 - 24.06.2019 17:30","59290","65316"
"24.06.2019 17:30 - 24.06.2019 17:45","58724","65400"
"24.06.2019 17:45 - 24.06.2019 18:00","59120","65364"
"24.06.2019 18:00 - 24.06.2019 18:15","58766","65359"
"24.06.2019 18:15 - 24.06.2019 18:30","58007","64913"
"24.06.2019 18:30 - 24.06.2019 18:45","58352","64892"
"24.06.2019 18:45 - 24.06.2019 19:00","58395","64853"
"24.06.2019 19:00 - 24.06.2019 19:15","57709","64644"
"24.06.2019 19:15 - 24.06.2019 19:30","57279","64036"
"24.06.2019 19:30 - 24.06.2019 19:45","56948","63813"
"24.06.2019 19:45 - 24.06.2019 20:00","57075","63307"
"24.06.2019 20:00 - 24.06.2019 20:15","56312","62764"
"24.06.2019 20:15 - 24.06.2019 20:30","55324","62101"
"24.06.2019 20:30 - 24.06.2019 20:45","55064","61397"
"24.06.2019 20:45 - 24.06.2019 21:00","53924","60704"
"24.06.2019 21:00 - 24.06.2019 21:15","53846","59864"
"24.06.2019 21:15 - 24.06.2019 21:30","53004","59275"
"24.06.2019 21:30 - 24.06.2019 21:45","52868","58719"
"24.06.2019 21:45 - 24.06.2019 22:00","51399","58595"
"24.06.2019 22:00 - 24.06.2019 22:15","51265","58014"
"24.06.2019 22:15 - 24.06.2019 22:30","50616","57466"
"24.06.2019 22:30 - 24.06.2019 22:45","49615","56793"
"24.06.2019 22:45 - 24.06.2019 23:00","48902","55386"
"24.06.2019 23:00 - 24.06.2019 23:15","47966","54142"
"24.06.2019 23:15 - 24.06.2019 23:30","47179","52907"
"24.06.2019 23:30 - 24.06.2019 23:45","46329","51798"
"24.06.2019 23:45 - 25.06.2019 00:00","45639","51074"
"25.06.2019 00:00 - 25.06.2019 00:15","45473","50151"
"25.06.2019 00:15 - 25.06.2019 00:30","45220","49796"
"25.06.2019 00:30 - 25.06.2019 00:45","44678","49100"
"25.06.2019 00:45 - 25.06.2019 01:00","44358","48531"
"25.06.2019 01:00 - 25.06.2019 01:15","43598","48249"
"25.06.2019 01:15 - 25.06.2019 01:30","43309","47985"
"25.06.2019 01:30 - 25.06.2019 01:45","42945","47491"
"25.06.2019 01:45 - 25.06.2019 02:00","42545","47368"
"25.06.2019 02:00 - 25.06.2019 02:15","42161","47082"
"25.06.2019 02:15 - 25.06.2019 02:30","42101","46711"
"25.06.2019 02:30 - 25.06.2019 02:45","41954","46616"
"25.06.2019 02:45 - 25.06.2019 03:00","41988","46791"
"25.06.2019 03:00 - 25.06.2019 03:15","42118","46760"
"25.06.2019 03:15 - 25.06.2019 03:30","42112","46656"
"25.06.2019 03:30 - 25.06.2019 03:45","42095","46481"
"25.06.2019 03:45 - 25.06.2019 04:00","42051","46425"
"25.06.2019 04:00 - 25.06.2019 04:15","42544","47085"
"25.06.2019 04:15 - 25.06.2019 04:30","42808","47127"
"25.06.2019 04:30 - 25.06.2019 04:45","43182","47414"
"25.06.2019 04:45 - 25.06.2019 05:00","43549","47594"
"25.06.2019 05:00 - 25.06.2019 05:15","44652","48746"
"25.06.2019 05:15 - 25.06.2019 05:30","45074","49674"
"25.06.2019 05:30 - 25.06.2019 05:45","46011","50600"
"25.06.2019 05:45 - 25.06.2019 06:00","47380","51697"
"25.06.2019 06:00 - 25.06.2019 06:15","50188","54549"
"25.06.2019 06:15 - 25.06.2019 06:30","52172","56660"
"25.06.2019 06:30 - 25.06.2019 06:45","53617","58431"
"25.06.2019 06:45 - 25.06.2019 07:00","55105","59782"
"25.06.2019 07:00 - 25.06.2019 07:15","56834","61738"
"25.06.2019 07:15 - 25.06.2019 07:30","57819","62994"
"25.06.2019 07:30 - 25.06.2019 07:45","58402","64163"
"25.06.2019 07:45 - 25.06.2019 08:00","59215","65055"
"25.06.2019 08:00 - 25.06.2019 08:15","60108","65739"
"25.06.2019 08:15 - 25.06.2019 08:30","60673","66352"
"25.06.2019 08:30 - 25.06.2019 08:45","61052","66982"
"25.06.2019 08:45 - 25.06.2019 09:00","61413","67470"
"25.06.2019 09:00 - 25.06.2019 09:15","61252","67303"
"25.06.2019 09:15 - 25.06.2019 09:30","61769","67627"
"25.06.2019 09:30 - 25.06.2019 09:45","62435","68369"
"25.06.2019 09:45 - 25.06.2019 10:00","62719","68810"
"25.06.2019 10:00 - 25.06.2019 10:15","63236","68866"
"25.06.2019 10:15 - 25.06.2019 10:30","63578","69117"
"25.06.2019 10:30 - 25.06.2019 10:45","63849","69680"
"25.06.2019 10:45 - 25.06.2019 11:00","64295","70019"
"25.06.2019 11:00 - 25.06.2019 11:15","64594","70029"
"25.06.2019 11:15 - 25.06.2019 11:30","65096","70219"
"25.06.2019 11:30 - 25.06.2019 11:45","65338","70893"
"25.06.2019 11:45 - 25.06.2019 12:00","64782","70911"
"25.06.2019 12:00 - 25.06.2019 12:15","64806","70542"
"25.06.2019 12:15 - 25.06.2019 12:30","64632","70678"
"25.06.2019 12:30 - 25.06.2019 12:45","64531","70503"
"25.06.2019 12:45 - 25.06.2019 13:00","64735","70578"
"25.06.2019 13:00 - 25.06.2019 13:15","64351","70613"
"25.06.2019 13:15 - 25.06.2019 13:30","64323","70498"
"25.06.2019 13:30 - 25.06.2019 13:45","63899","70032"
"25.06.2019 13:45 - 25.06.2019 14:00","63355","69240"
"25.06.2019 14:00 - 25.06.2019 14:15","63375","69189"
"25.06.2019 14:15 - 25.06.2019 14:30","63018","69200"
"25.06.2019 14:30 - 25.06.2019 14:45","62858","68942"
"25.06.2019 14:45 - 25.06.2019 15:00","63108","68756"
