"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"14.07.2019 15:15 - 14.07.2019 15:30","15353","15127","8466","1553","1405","1324","4014","4232","2718"
"14.07.2019 15:30 - 14.07.2019 15:45","14925","14707","8146","1581","1451","1362","4143","4361","2851"
"14.07.2019 15:45 - 14.07.2019 16:00","14422","14230","7826","1609","1495","1395","4275","4493","2823"
"14.07.2019 16:00 - 14.07.2019 16:15","13884","13753","7692","1634","1542","1434","4411","4622","2880"
"14.07.2019 16:15 - 14.07.2019 16:30","13316","13221","7387","1664","1589","1498","4538","4750","2928"
"14.07.2019 16:30 - 14.07.2019 16:45","12696","12617","7072","1695","1629","1505","4662","4884","3092"
"14.07.2019 16:45 - 14.07.2019 17:00","12006","11947","6703","1724","1671","1575","4788","5017","3113"
"14.07.2019 17:00 - 14.07.2019 17:15","11271","11223","6239","1762","1710","1573","4903","5139","3237"
"14.07.2019 17:15 - 14.07.2019 17:30","10468","10451","5700","1790","1728","1595","4984","5200","3270"
"14.07.2019 17:30 - 14.07.2019 17:45","9626","9623","5202","1824","1747","1593","5059","5264","3333"
"14.07.2019 17:45 - 14.07.2019 18:00","8760","8764","4631","1853","1767","1621","5144","5331","3378"
"14.07.2019 18:00 - 14.07.2019 18:15","7865","7870","4148","1883","1780","1663","5219","5397","3442"
"14.07.2019 18:15 - 14.07.2019 18:30","6970","6958","3667","1905","1796","1696","5253","5404","3457"
"14.07.2019 18:30 - 14.07.2019 18:45","6061","6035","3192","1924","1808","1767","5290","5420","3548"
"14.07.2019 18:45 - 14.07.2019 19:00","5183","5138","2713","1941","1819","1810","5329","5439","3669"
"14.07.2019 19:00 - 14.07.2019 19:15","4370","4281","2237","1951","1830","1865","5366","5448","3650"
"14.07.2019 19:15 - 14.07.2019 19:30","3595","3482","1843","1952","1845","1924","5382","5434","3632"
"14.07.2019 19:30 - 14.07.2019 19:45","2890","2769","1461","1951","1855","1897","5401","5421","3766"
"14.07.2019 19:45 - 14.07.2019 20:00","2254","2153","1142","1946","1868","1891","5421","5404","3862"
"14.07.2019 20:00 - 14.07.2019 20:15","1664","1581","833","1944","1868","1942","5429","5394","3782"
"14.07.2019 20:15 - 14.07.2019 20:30","1115","1056","516","1944","1851","1964","5409","5353","3773"
"14.07.2019 20:30 - 14.07.2019 20:45","677","640","288","1951","1829","2000","5385","5317","3704"
"14.07.2019 20:45 - 14.07.2019 21:00","370","338","150","1949","1813","2023","5376","5279","3752"
"14.07.2019 21:00 - 14.07.2019 21:15","160","135","64","1952","1788","1942","5373","5211","3876"
"14.07.2019 21:15 - 14.07.2019 21:30","51","40","25","1952","1765","1949","5392","5172","3691"
"14.07.2019 21:30 - 14.07.2019 21:45","5","5","3","1956","1740","1915","5405","5132","3528"
"14.07.2019 21:45 - 14.07.2019 22:00","0","0","0","1959","1717","1862","5424","5090","3473"
"14.07.2019 22:00 - 14.07.2019 22:15","0","0","0","1970","1697","1769","5416","5031","3571"
"14.07.2019 22:15 - 14.07.2019 22:30","0","0","0","1964","1668","1774","5427","5015","3370"
"14.07.2019 22:30 - 14.07.2019 22:45","0","0","0","1960","1639","1819","5432","4998","3182"
"14.07.2019 22:45 - 14.07.2019 23:00","0","0","0","1953","1614","1766","5430","4969","3231"
"14.07.2019 23:00 - 14.07.2019 23:15","0","0","0","1945","1589","1749","5424","4946","3141"
"14.07.2019 23:15 - 14.07.2019 23:30","0","0","0","1945","1572","1774","5352","4893","3084"
"14.07.2019 23:30 - 14.07.2019 23:45","0","0","0","1938","1551","1803","5290","4840","3037"
"14.07.2019 23:45 - 15.07.2019 00:00","0","0","0","1938","1534","1749","5221","4780","3116"
"15.07.2019 00:00 - 15.07.2019 00:15","0","0","0","1283","1825","1731","4916","4858","3043"
"15.07.2019 00:15 - 15.07.2019 00:30","0","0","0","1286","1787","1704","4847","4628","2910"
"15.07.2019 00:30 - 15.07.2019 00:45","0","0","0","1289","1722","1643","4775","4493","2830"
"15.07.2019 00:45 - 15.07.2019 01:00","0","0","0","1292","1730","1634","4714","4315","2686"
"15.07.2019 01:00 - 15.07.2019 01:15","0","0","0","1301","1651","1552","4656","4304","2757"
"15.07.2019 01:15 - 15.07.2019 01:30","0","0","0","1319","1664","1556","4626","4136","2692"
"15.07.2019 01:30 - 15.07.2019 01:45","0","0","0","1340","1645","1542","4592","4046","2643"
"15.07.2019 01:45 - 15.07.2019 02:00","0","0","0","1360","1629","1538","4561","3927","2584"
"15.07.2019 02:00 - 15.07.2019 02:15","0","0","0","1383","1580","1509","4529","3857","2540"
"15.07.2019 02:15 - 15.07.2019 02:30","0","0","0","1416","1587","1523","4496","3696","2406"
"15.07.2019 02:30 - 15.07.2019 02:45","0","0","0","1449","1544","1476","4458","3729","2502"
"15.07.2019 02:45 - 15.07.2019 03:00","0","0","0","1475","1568","1497","4429","3553","2374"
"15.07.2019 03:00 - 15.07.2019 03:15","0","0","0","1513","1598","1524","4382","3680","2526"
"15.07.2019 03:15 - 15.07.2019 03:30","0","0","0","1559","1611","1534","4353","3644","2502"
"15.07.2019 03:30 - 15.07.2019 03:45","0","0","0","1606","1649","1570","4326","3707","2578"
"15.07.2019 03:45 - 15.07.2019 04:00","0","0","0","1649","1651","1570","4303","3865","2748"
"15.07.2019 04:00 - 15.07.2019 04:15","0","0","0","1695","1681","1597","4283","3827","2726"
"15.07.2019 04:15 - 15.07.2019 04:30","0","0","0","1734","1791","1705","4306","3829","2739"
"15.07.2019 04:30 - 15.07.2019 04:45","0","0","0","1778","1917","1828","4326","3754","2674"
"15.07.2019 04:45 - 15.07.2019 05:00","0","0","0","1817","1920","1829","4328","3963","2893"
"15.07.2019 05:00 - 15.07.2019 05:15","7","1","0","1848","1996","1902","4315","3819","2763"
"15.07.2019 05:15 - 15.07.2019 05:30","34","13","5","1860","2035","1939","4255","3847","2801"
"15.07.2019 05:30 - 15.07.2019 05:45","126","77","49","1872","2072","1975","4197","3709","2675"
"15.07.2019 05:45 - 15.07.2019 06:00","292","207","128","1885","2057","1958","4150","3620","2596"
"15.07.2019 06:00 - 15.07.2019 06:15","541","414","230","1895","2088","1988","4110","3641","2620"
"15.07.2019 06:15 - 15.07.2019 06:30","962","736","393","1920","2019","1920","4008","3610","2593"
"15.07.2019 06:30 - 15.07.2019 06:45","1529","1180","724","1947","1984","1885","3903","3483","2470"
"15.07.2019 06:45 - 15.07.2019 07:00","2156","1737","1090","1975","2032","1934","3785","3387","2386"
"15.07.2019 07:00 - 15.07.2019 07:15","2861","2371","1475","1991","1935","1838","3674","3527","2535"
"15.07.2019 07:15 - 15.07.2019 07:30","3638","3044","1914","1999","2025","1925","3568","3309","2343"
"15.07.2019 07:30 - 15.07.2019 07:45","4498","3787","2354","2006","2028","1925","3469","3474","2538"
"15.07.2019 07:45 - 15.07.2019 08:00","5430","4603","2884","2010","2035","1878","3381","3436","2469"
"15.07.2019 08:00 - 15.07.2019 08:15","6404","5463","3485","2025","2044","1971","3306","3422","2353"
"15.07.2019 08:15 - 15.07.2019 08:30","7426","6373","4062","2048","2057","1951","3378","3527","2395"
"15.07.2019 08:30 - 15.07.2019 08:45","8420","7282","4692","2070","2074","2025","3454","3636","2400"
"15.07.2019 08:45 - 15.07.2019 09:00","9408","8170","5317","2091","2086","1997","3525","3732","2466"
"15.07.2019 09:00 - 15.07.2019 09:15","10374","9026","5974","2115","2104","2059","3567","3835","2615"
"15.07.2019 09:15 - 15.07.2019 09:30","11301","9864","6578","2135","2142","2080","3655","3926","2799"
"15.07.2019 09:30 - 15.07.2019 09:45","12182","10672","7175","2162","2176","2128","3742","4020","2831"
"15.07.2019 09:45 - 15.07.2019 10:00","13001","11436","7625","2189","2212","2200","3823","4103","2761"
"15.07.2019 10:00 - 15.07.2019 10:15","13756","12141","8153","2215","2245","2236","3916","4185","2838"
"15.07.2019 10:15 - 15.07.2019 10:30","14464","12812","8642","2256","2267","2217","4038","4290","3100"
"15.07.2019 10:30 - 15.07.2019 10:45","15134","13483","9030","2294","2295","2210","4163","4387","3180"
"15.07.2019 10:45 - 15.07.2019 11:00","15771","14127","9454","2329","2319","2228","4290","4487","3027"
"15.07.2019 11:00 - 15.07.2019 11:15","16352","14741","9817","2373","2342","2162","4425","4586","3462"
"15.07.2019 11:15 - 15.07.2019 11:30","16837","15272","9971","2428","2383","2173","4625","4716","3534"
"15.07.2019 11:30 - 15.07.2019 11:45","17284","15788","10059","2479","2421","2245","4825","4849","3581"
"15.07.2019 11:45 - 15.07.2019 12:00","17672","16267","10279","2537","2462","2263","5021","4977","3744"
"15.07.2019 12:00 - 15.07.2019 12:15","18002","16680","10498","2585","2507","2276","5225","5115","4017"
"15.07.2019 12:15 - 15.07.2019 12:30","18307","17066","10667","2633","2573","2324","5435","5277","3848"
"15.07.2019 12:30 - 15.07.2019 12:45","18600","17407","10706","2662","2638","2089","5608","5439","3924"
"15.07.2019 12:45 - 15.07.2019 13:00","18861","17729","10740","2707","2704","2021","5820","5600","4281"
"15.07.2019 13:00 - 15.07.2019 13:15","19062","17989","10967","2753","2719","1893","6036","5769","4420"
"15.07.2019 13:15 - 15.07.2019 13:30","19221","18212","11085","2799","2771","1904","6250","5933","4563"
"15.07.2019 13:30 - 15.07.2019 13:45","19323","18363","11027","2851","2824","1909","6460","6100","4801"
"15.07.2019 13:45 - 15.07.2019 14:00","19345","18418","11016","2900","2874","1955","6669","6270","5017"
"15.07.2019 14:00 - 15.07.2019 14:15","19276","18501","11014","2951","2908","2033","6886","6537","5192"
"15.07.2019 14:15 - 15.07.2019 14:30","19147","18447","10811","3025","2978","1947","7105","6762","5286"
"15.07.2019 14:30 - 15.07.2019 14:45","18987","18326","10738","3096","3046","1942","7330","6990","5289"
"15.07.2019 14:45 - 15.07.2019 15:00","18755","18129","10587","3166","3115","1896","7563","7222","5581"
"15.07.2019 15:00 - 15.07.2019 15:15","18450","17860","10432","3236","3179","1921","7796","7463","5856"
"15.07.2019 15:15 - 15.07.2019 15:30","18074","17519","10214","3297","3234","1963","8023","7677","5968"
"15.07.2019 15:30 - 15.07.2019 15:45","17581","17054","9868","3365","3294","1961","8244","7886","5952"
"15.07.2019 15:45 - 15.07.2019 16:00","17008","16498","9547","3424","3353","1994","8469","8097","6023"
"15.07.2019 16:00 - 15.07.2019 16:15","16375","15868","9258","3484","3409","1991","8697","8315","6086"
"15.07.2019 16:15 - 15.07.2019 16:30","15680","15173","8982","3528","3448","1995","8933","8545","6209"
"15.07.2019 16:30 - 15.07.2019 16:45","14918","14444","8593","3582","3490","2073","9192","8776","6329"
"15.07.2019 16:45 - 15.07.2019 17:00","14088","13649","8162","3631","3528","2246","9436","8993","5998"
"15.07.2019 17:00 - 15.07.2019 17:15","13182","12774","7723","3687","3568","2288","9659","9206","6158"
"15.07.2019 17:15 - 15.07.2019 17:30","12207","11842","7145","3720","3610","2277","9794","9354","6107"
"15.07.2019 17:30 - 15.07.2019 17:45","11172","10848","6562","3751","3649","2275","9933","9483","6222"
"15.07.2019 17:45 - 15.07.2019 18:00","10079","9798","5962","3782","3688","2225","10069","9637","6284"
"15.07.2019 18:00 - 15.07.2019 18:15","8949","8711","5380","3811","3725","2286","10192","9772","6322"
"15.07.2019 18:15 - 15.07.2019 18:30","7803","7611","4715","3825","3747","2241","10310","9878","6165"
"15.07.2019 18:30 - 15.07.2019 18:45","6651","6499","4024","3836","3769","2277","10432","9982","6135"
"15.07.2019 18:45 - 15.07.2019 19:00","5558","5437","3388","3847","3789","2236","10532","10063","6108"
"15.07.2019 19:00 - 15.07.2019 19:15","4530","4437","2784","4272","4208","2413","10253","9781","6140"
"15.07.2019 19:15 - 15.07.2019 19:30","3599","3528","2213","4275","4214","2380","10245","9752","6097"
"15.07.2019 19:30 - 15.07.2019 19:45","2790","2735","1741","4279","4216","2447","10234","9727","6219"
"15.07.2019 19:45 - 15.07.2019 20:00","2165","2115","1346","4284","4222","2317","10223","9704","6240"
"15.07.2019 20:00 - 15.07.2019 20:15","1602","1549","990","4289","4222","2298","10202","9675","6278"
"15.07.2019 20:15 - 15.07.2019 20:30","1051","1009","608","4272","4201","2418","10147","9600","6161"
"15.07.2019 20:30 - 15.07.2019 20:45","654","619","343","4247","4174","2301","10097","9530","6179"
"15.07.2019 20:45 - 15.07.2019 21:00","353","322","178","4228","4148","2315","10046","9460","5938"
"15.07.2019 21:00 - 15.07.2019 21:15","136","125","75","4199","4120","2368","10007","9284","5804"
"15.07.2019 21:15 - 15.07.2019 21:30","33","33","28","4173","4095","2424","9980","9275","5801"
"15.07.2019 21:30 - 15.07.2019 21:45","5","4","4","4140","4068","2424","9962","9272","5800"
"15.07.2019 21:45 - 15.07.2019 22:00","0","0","0","4113","4044","2419","9947","9264","5753"
"15.07.2019 22:00 - 15.07.2019 22:15","0","0","0","4090","4037","2384","9855","9176","5548"
"15.07.2019 22:15 - 15.07.2019 22:30","0","0","0","4072","4010","2360","9823","9175","5464"
"15.07.2019 22:30 - 15.07.2019 22:45","0","0","0","4049","3981","2315","9794","9174","5545"
"15.07.2019 22:45 - 15.07.2019 23:00","0","0","0","4027","3954","2395","9762","9174","5561"
"15.07.2019 23:00 - 15.07.2019 23:15","0","0","0","4003","3917","2528","9741","9182","5453"
"15.07.2019 23:15 - 15.07.2019 23:30","0","0","0","3958","3856","2685","9662","9130","5302"
"15.07.2019 23:30 - 15.07.2019 23:45","0","0","0","3915","3797","2670","9585","9076","5126"
"15.07.2019 23:45 - 16.07.2019 00:00","0","0","0","3868","3740","2611","9511","9023","5164"
"16.07.2019 00:00 - 16.07.2019 00:15","0","0","0","3564","3141","2512","8959","7844","5071"
"16.07.2019 00:15 - 16.07.2019 00:30","0","0","0","3523","3036","2465","8891","7620","4873"
"16.07.2019 00:30 - 16.07.2019 00:45","0","0","0","3485","2805","2353","8825","7679","4946"
"16.07.2019 00:45 - 16.07.2019 01:00","0","0","0","3445","2714","2310","8754","7491","4758"
"16.07.2019 01:00 - 16.07.2019 01:15","0","0","0","3407","2814","2259","8691","7421","4682"
"16.07.2019 01:15 - 16.07.2019 01:30","0","0","0","3366","2790","2213","8603","7392","4597"
"16.07.2019 01:30 - 16.07.2019 01:45","0","0","0","3325","2820","2211","8513","7321","4498"
"16.07.2019 01:45 - 16.07.2019 02:00","0","0","0","3343","2900","2257","8580","7158","4358"
"16.07.2019 02:00 - 16.07.2019 02:15","0","0","0","3306","2930","2264","8499","7197","4385"
"16.07.2019 02:15 - 16.07.2019 02:30","0","0","0","3297","2999","2333","8465","7264","4343"
"16.07.2019 02:30 - 16.07.2019 02:45","0","0","0","3285","3057","2410","8434","7202","4211"
"16.07.2019 02:45 - 16.07.2019 03:00","0","0","0","3278","3008","2406","8398","7299","4240"
"16.07.2019 03:00 - 16.07.2019 03:15","0","0","0","3274","3049","2490","8439","7227","4111"
"16.07.2019 03:15 - 16.07.2019 03:30","0","0","0","3305","3027","2517","8414","7263","4080"
"16.07.2019 03:30 - 16.07.2019 03:45","0","0","0","3342","3087","2623","8383","7340","4087"
"16.07.2019 03:45 - 16.07.2019 04:00","0","0","0","3373","3139","2721","8360","7505","4181"
"16.07.2019 04:00 - 16.07.2019 04:15","0","0","0","3404","3188","2814","8345","7484","4091"
"16.07.2019 04:15 - 16.07.2019 04:30","0","0","0","3429","3219","2864","8333","7524","4078"
"16.07.2019 04:30 - 16.07.2019 04:45","0","0","0","3456","3235","2899","8319","7500","4002"
"16.07.2019 04:45 - 16.07.2019 05:00","0","0","0","3476","3237","2918","8311","7495","3938"
"16.07.2019 05:00 - 16.07.2019 05:15","4","1","0","3495","3251","2948","8300","7447","3834"
"16.07.2019 05:15 - 16.07.2019 05:30","23","15","4","3469","3251","2958","8287","7636","3973"
"16.07.2019 05:30 - 16.07.2019 05:45","98","77","50","3445","3265","2981","8271","7788","4074"
"16.07.2019 05:45 - 16.07.2019 06:00","248","211","133","3418","3281","3005","8264","7855","4093"
"16.07.2019 06:00 - 16.07.2019 06:15","469","424","232","3378","3304","3035","8294","7905","4071"
"16.07.2019 06:15 - 16.07.2019 06:30","841","736","398","3350","3247","3000","8301","8143","4292"
"16.07.2019 06:30 - 16.07.2019 06:45","1371","1199","757","3322","3233","3007","8306","8121","4252"
"16.07.2019 06:45 - 16.07.2019 07:00","1971","1799","1173","3295","3233","3027","8297","8219","4331"
"16.07.2019 07:00 - 16.07.2019 07:15","2683","2539","1678","3261","3156","2970","8290","8124","4210"
"16.07.2019 07:15 - 16.07.2019 07:30","3489","3363","2218","3217","3091","2921","8341","8017","4043"
"16.07.2019 07:30 - 16.07.2019 07:45","4385","4253","2776","3163","3034","2879","8399","8074","4036"
"16.07.2019 07:45 - 16.07.2019 08:00","5343","5223","3443","3113","3032","2628","8459","8195","4184"
"16.07.2019 08:00 - 16.07.2019 08:15","6367","6255","4129","3054","3018","2619","8531","8346","4320"
"16.07.2019 08:15 - 16.07.2019 08:30","7432","7286","4815","2980","2988","2570","8514","8394","4465"
"16.07.2019 08:30 - 16.07.2019 08:45","8471","8317","5483","2903","2957","2562","8503","8448","4596"
"16.07.2019 08:45 - 16.07.2019 09:00","9505","9340","6184","2831","2929","2496","8528","8544","4615"
"16.07.2019 09:00 - 16.07.2019 09:15","10502","10341","6799","2761","2889","2515","8473","8629","4867"
"16.07.2019 09:15 - 16.07.2019 09:30","11455","11297","7427","2704","2845","2512","8486","8762","5008"
"16.07.2019 09:30 - 16.07.2019 09:45","12374","12209","8091","2647","2799","2594","8500","8902","4843"
"16.07.2019 09:45 - 16.07.2019 10:00","13264","13088","8597","2589","2758","2593","8520","9038","5073"
"16.07.2019 10:00 - 16.07.2019 10:15","14102","13906","9196","2537","2738","2558","8536","9157","5163"
"16.07.2019 10:15 - 16.07.2019 10:30","14895","14646","9790","2489","2678","2464","8535","9232","5215"
"16.07.2019 10:30 - 16.07.2019 10:45","15644","15372","10313","2444","2619","2399","8532","9310","5265"
"16.07.2019 10:45 - 16.07.2019 11:00","16342","16044","10858","2399","2559","2342","8524","9382","5187"
"16.07.2019 11:00 - 16.07.2019 11:15","16993","16679","11418","2352","2504","2280","8519","9427","5079"
"16.07.2019 11:15 - 16.07.2019 11:30","17617","17308","11645","2327","2460","2202","8504","9484","5202"
"16.07.2019 11:30 - 16.07.2019 11:45","18204","17872","12014","2301","2418","2198","8490","9540","5275"
"16.07.2019 11:45 - 16.07.2019 12:00","18744","18389","12287","2279","2377","2172","8479","9600","5137"
"16.07.2019 12:00 - 16.07.2019 12:15","19233","18849","12641","2251","2334","2110","8471","9651","5303"
"16.07.2019 12:15 - 16.07.2019 12:30","19674","19255","12906","2230","2297","2093","8491","9723","5203"
"16.07.2019 12:30 - 16.07.2019 12:45","20043","19617","13162","2212","2259","2041","8506","9796","5035"
"16.07.2019 12:45 - 16.07.2019 13:00","20340","19972","13361","2190","2225","1914","8521","9855","5062"
"16.07.2019 13:00 - 16.07.2019 13:15","20574","20250","13503","2166","2192","1866","8534","9915","5017"
"16.07.2019 13:15 - 16.07.2019 13:30","20743","20436","13641","2132","2152","1808","8586","9963","5137"
"16.07.2019 13:30 - 16.07.2019 13:45","20828","20532","13687","2099","2116","1742","8635","10009","5072"
"16.07.2019 13:45 - 16.07.2019 14:00","20840","20556","13688","2060","2077","1723","8669","10031","5176"
"16.07.2019 14:00 - 16.07.2019 14:15","20802","20391","13629","2025","1996","1733","8695","10284","5088"
"16.07.2019 14:15 - 16.07.2019 14:30","20635","20295","13596","1974","1945","1733","8706","10306","5095"
"16.07.2019 14:30 - 16.07.2019 14:45","20411","20093","13396","1927","1890","1711","8716","10332","5116"
"16.07.2019 14:45 - 16.07.2019 15:00","20113","19832","13220","1875","1844","1649","8732","10350","5124"
"16.07.2019 15:00 - 16.07.2019 15:15","19745","19500","13056","1825","1789","1611","8744","10405","5097"
"16.07.2019 15:15 - 16.07.2019 15:30","19303","19072","12819","1775","1749","1521","8742","10341","4907"
"16.07.2019 15:30 - 16.07.2019 15:45","18761","18538","12471","1725","1711","1449","8741","10273","4961"
"16.07.2019 15:45 - 16.07.2019 16:00","18144","17915","12033","1679","1669","1352","8734","10205","4920"
"16.07.2019 16:00 - 16.07.2019 16:15","17454","17222","11610","1635","1631","1290","8712","10129","4790"
"16.07.2019 16:15 - 16.07.2019 16:30","16678","16415","11155","1595","1584","1213","8655","10036","4740"
"16.07.2019 16:30 - 16.07.2019 16:45","15813","15560","10631","1551","1540","1142","8606","9937","4615"
"16.07.2019 16:45 - 16.07.2019 17:00","14880","14675","9992","1516","1500","1073","8546","9834","4426"
"16.07.2019 17:00 - 16.07.2019 17:15","13877","13716","9318","1478","1456","1001","8482","9721","4448"
"16.07.2019 17:15 - 16.07.2019 17:30","12806","12648","8632","1428","1420","978","8337","9497","4188"
"16.07.2019 17:30 - 16.07.2019 17:45","11673","11524","7897","1373","1388","910","8204","9268","4094"
"16.07.2019 17:45 - 16.07.2019 18:00","10488","10362","7082","1328","1351","893","8062","9053","4027"
"16.07.2019 18:00 - 16.07.2019 18:15","9270","9165","6236","1294","1323","894","7942","8848","3834"
"16.07.2019 18:15 - 16.07.2019 18:30","8050","7963","5415","1257","1303","885","7778","8626","3805"
"16.07.2019 18:30 - 16.07.2019 18:45","6833","6763","4596","1217","1278","828","7620","8413","3723"
"16.07.2019 18:45 - 16.07.2019 19:00","5674","5625","3807","1185","1257","793","7457","8195","3679"
"16.07.2019 19:00 - 16.07.2019 19:15","4585","4546","3059","1153","1240","795","7300","7961","3495"
"16.07.2019 19:15 - 16.07.2019 19:30","3602","3579","2389","1119","1211","767","7139","7672","3360"
"16.07.2019 19:30 - 16.07.2019 19:45","2762","2747","1813","1088","1191","709","6978","7376","3282"
"16.07.2019 19:45 - 16.07.2019 20:00","2116","2044","1358","1053","1165","679","6824","7100","3259"
"16.07.2019 20:00 - 16.07.2019 20:15","1548","1449","968","1031","1143","635","6673","6839","3106"
"16.07.2019 20:15 - 16.07.2019 20:30","1025","943","643","1017","1138","642","6573","6714","3016"
"16.07.2019 20:30 - 16.07.2019 20:45","637","584","352","1002","1135","597","6477","6585","2965"
"16.07.2019 20:45 - 16.07.2019 21:00","338","308","173","993","1129","588","6375","6459","2738"
"16.07.2019 21:00 - 16.07.2019 21:15","132","116","77","982","1132","627","6296","6201","2555"
"16.07.2019 21:15 - 16.07.2019 21:30","33","30","29","978","1138","613","6263","6143","2443"
"16.07.2019 21:30 - 16.07.2019 21:45","4","4","4","977","1147","626","6228","6081","2505"
"16.07.2019 21:45 - 16.07.2019 22:00","0","0","0","972","1154","631","6197","6022","2576"
"16.07.2019 22:00 - 16.07.2019 22:15","0","0","0","974","1167","637","6136","5944","2462"
"16.07.2019 22:15 - 16.07.2019 22:30","0","0","0","974","1154","665","6120","5913","2370"
"16.07.2019 22:30 - 16.07.2019 22:45","0","0","0","969","1146","657","6105","5876","2318"
"16.07.2019 22:45 - 16.07.2019 23:00","0","0","0","966","1135","650","6084","5843","2405"
"16.07.2019 23:00 - 16.07.2019 23:15","0","0","0","960","1118","638","6055","5802","2349"
"16.07.2019 23:15 - 16.07.2019 23:30","0","0","0","936","1096","627","5912","5670","2235"
"16.07.2019 23:30 - 16.07.2019 23:45","0","0","0","917","1070","597","5763","5544","2225"
"16.07.2019 23:45 - 17.07.2019 00:00","0","0","0","892","1049","577","5622","5411","2162"
"17.07.2019 00:00 - 17.07.2019 00:15","0","0","0","983","1133","548","5329","6017","2108"
"17.07.2019 00:15 - 17.07.2019 00:30","0","0","0","945","1097","529","5201","5874","2011"
"17.07.2019 00:30 - 17.07.2019 00:45","0","0","0","905","1050","485","5076","5695","1912"
"17.07.2019 00:45 - 17.07.2019 01:00","0","0","0","863","982","451","4956","5521","1822"
"17.07.2019 01:00 - 17.07.2019 01:15","0","0","0","825","882","390","4842","5518","1872"
"17.07.2019 01:15 - 17.07.2019 01:30","0","0","0","783","747","346","4788","5419","1836"
"17.07.2019 01:30 - 17.07.2019 01:45","0","0","0","747","662","293","4725","5354","1792"
"17.07.2019 01:45 - 17.07.2019 02:00","0","0","0","711","589","255","4697","5110","1640"
"17.07.2019 02:00 - 17.07.2019 02:15","0","0","0","679","528","213","4667","4985","1581"
"17.07.2019 02:15 - 17.07.2019 02:30","0","0","0","648","519","193","4473","4680","1472"
"17.07.2019 02:30 - 17.07.2019 02:45","0","0","0","622","504","172","4274","4442","1386"
"17.07.2019 02:45 - 17.07.2019 03:00","0","0","0","594","464","158","4099","4273","1330"
"17.07.2019 03:00 - 17.07.2019 03:15","0","0","0","563","423","142","3869","4012","1183"
"17.07.2019 03:15 - 17.07.2019 03:30","0","0","0","538","385","124","3717","3801","1075"
"17.07.2019 03:30 - 17.07.2019 03:45","0","0","0","511","346","106","3570","3665","1040"
"17.07.2019 03:45 - 17.07.2019 04:00","0","0","0","482","313","94","3431","3497","967"
"17.07.2019 04:00 - 17.07.2019 04:15","0","0","0","458","280","83","3293","3352","916"
"17.07.2019 04:15 - 17.07.2019 04:30","0","0","0","433","261","81","3205","3193","820"
"17.07.2019 04:30 - 17.07.2019 04:45","0","0","0","413","238","75","3116","3097","785"
"17.07.2019 04:45 - 17.07.2019 05:00","0","0","0","395","210","65","3010","2983","742"
"17.07.2019 05:00 - 17.07.2019 05:15","6","0","0","370","189","61","2910","2865","694"
"17.07.2019 05:15 - 17.07.2019 05:30","41","22","4","352","173","56","2771","2711","643"
"17.07.2019 05:30 - 17.07.2019 05:45","140","113","52","335","157","51","2633","2570","600"
"17.07.2019 05:45 - 17.07.2019 06:00","317","285","142","314","144","50","2490","2428","562"
"17.07.2019 06:00 - 17.07.2019 06:15","574","550","255","292","127","44","2378","2318","531"
"17.07.2019 06:15 - 17.07.2019 06:30","957","933","441","279","115","39","2165","2131","502"
"17.07.2019 06:30 - 17.07.2019 06:45","1524","1491","824","262","101","32","1959","1951","475"
"17.07.2019 06:45 - 17.07.2019 07:00","2183","2173","1245","242","93","31","1745","1748","445"
"17.07.2019 07:00 - 17.07.2019 07:15","2973","2984","1750","230","87","32","1522","1552","416"
"17.07.2019 07:15 - 17.07.2019 07:30","3871","3897","2330","211","75","26","1339","1371","392"
"17.07.2019 07:30 - 17.07.2019 07:45","4873","4949","2936","194","68","25","1165","1194","360"
"17.07.2019 07:45 - 17.07.2019 08:00","6010","6031","3573","175","59","21","1014","1047","325"
"17.07.2019 08:00 - 17.07.2019 08:15","7215","7126","4266","160","53","19","870","906","312"
"17.07.2019 08:15 - 17.07.2019 08:30","8436","8348","5048","143","48","19","824","866","317"
"17.07.2019 08:30 - 17.07.2019 08:45","9643","9566","5762","130","45","21","775","828","313"
"17.07.2019 08:45 - 17.07.2019 09:00","10879","10796","6558","115","42","19","763","832","313"
"17.07.2019 09:00 - 17.07.2019 09:15","12084","12005","7299","102","39","20","746","828","304"
"17.07.2019 09:15 - 17.07.2019 09:30","13224","13145","8064","92","37","19","717","804","305"
"17.07.2019 09:30 - 17.07.2019 09:45","14304","14235","8733","84","33","21","688","782","300"
"17.07.2019 09:45 - 17.07.2019 10:00","15316","15262","9346","72","32","17","665","754","294"
"17.07.2019 10:00 - 17.07.2019 10:15","16260","16236","10042","65","29","13","643","730","294"
"17.07.2019 10:15 - 17.07.2019 10:30","17124","17149","10613","59","27","11","628","715","295"
